Date,Prev Close,Open,High,Low,Last,Close
20.000103,656,694,708.5,675,708.5,708.5
20.000104,708.5,714,729,694.3,710.65,712.35
20.000105,712.35,716.25,758.9,660,731,726.2
20.000106,726.2,741,784.3,741,784.3,784.3
20.000107,784.3,832.4,847.05,824,847.05,847.05
20.000110,847.05,911.15,914.85,875,914.85,914.85
20.000111,914.85,902,952,866.1,877,883.7
20.000112,883.7,905,924,870.3,895,888.35
20.000113,888.35,900,936,871,876.95,879.75
20.000114,879.75,879.9,903.7,863.2,894,887.55
20.000117,887.55,904.95,904.95,816.55,816.55,817.35
20.000118,817.35,806,830,796,826.5,821.35
20.000119,821.35,830,848,801,822.1,826.1
20.000120,826.1,830,830,778.7,785,786.1
20.000121,786.1,785,845.9,785,830,831.55
20.000124,831.55,836,858,782.5,785,792.45
20.000125,792.45,780,780,729.05,730.5,729.55
20.000127,729.55,751,787.95,680,765,778.85
20.000128,778.85,767,767,716.55,716.55,719.2
20.000131,719.2,711,728,685,688,692.2
20.000201,692.2,697,721.75,691,704,701.55
20.000202,701.55,720,732.7,712,714.95,714.05
20.000203,714.05,721,726,705,709.95,709.1
20.000204,709.1,713,719.8,691,699,695.5
20.000207,695.5,708.5,751.15,708.5,751.15,747.3
20.000208,747.3,761.1,798,756,763,763.25
20.000209,763.25,784.4,824.35,772,824.35,824.35
20.000210,824.35,890.3,890.3,890.3,890.3,890.3
20.000211,890.3,961.55,961.55,961.55,961.55,961.55
20.000214,961.55,998.4,1037,902,930,932.55
20.000215,932.55,925,1007.15,910,1007.15,1006.5
20.000216,1006.5,1029.6,1067,975,990,997.2
20.000217,997.2,999,1054.9,992.05,1030,1030.1
20.000218,1030.1,1035,1050,947.7,970,956.8
20.000221,956.8,990,1008,960,980,979.9
20.000222,979.9,985,998.85,922.6,950,941.3
20.000223,941.3,951,999,866,866,866.05
20.000224,866.05,866,880,811,860,842.7
20.000225,842.7,868.7,868.7,801,810,810.15
20.000228,810.15,820,838.85,786.1,802.45,803.5
20.000229,803.5,810,819,739.25,739.25,746.85
20.000301,746.85,740.1,784,710,760,753.75
20.000302,753.75,761,780,714.4,719,724.6
20.000303,724.6,736,736,666.65,690,675.35
20.000306,675.35,697,729.4,697,729.4,729.4
20.000307,729.4,745,787.75,732,787.75,780.6
20.000308,780.6,820,843.05,780,808,807.55
20.000309,807.55,815,847,787.1,830,828.7
20.000310,828.7,839.95,867,810.05,867,837.4
20.000313,837.4,867,904.4,800,825,829.05
20.000314,829.05,825,878,791,850,859
20.000315,859,860,875,826,845.9,851.7
20.000316,851.7,859,859,783.6,783.6,785.65
20.000321,785.65,775,787.9,722.8,726,725.15
20.000322,725.15,745,770,736,744.9,740.45
20.000323,740.45,746.9,747.8,697,709.75,704.75
20.000324,704.75,712,733,712,721,721.4
20.000327,721.4,724.9,732,710.05,721.5,720.5
20.000328,720.5,722,723.9,692.15,701,701.95
20.000329,701.95,720,750,712,723.5,723.15
20.000330,723.15,729.9,754,711,719,720.15
20.000331,720.15,711,751.85,710,731,741.45
20.000403,741.45,739.9,800.8,721.05,792.75,797
20.000404,797,785,785,733.25,733.25,733.25
20.000405,733.25,680,740,675.05,696.1,698.75
20.000406,698.75,705,711,646.1,685,682.8
20.000407,682.8,682,733.9,682,730,730.95
20.000410,730.95,735,771.8,725,730.1,736
20.000411,736,726.1,728,703,723,717
20.000412,717,725,739.6,715,717,721.85
20.000413,721.85,701.55,701.55,680,689,685.65
20.000417,685.65,680,680,630.8,630.8,630.8
20.000418,630.8,630.8,647.25,580.35,580.35,580.7
20.000419,580.7,619,619,558,582,582.2
20.000420,582.2,571.5,584.95,542.65,571,575.7
20.000424,575.7,575,575,529.65,529.65,530.95
20.000425,530.95,500.7,526,489.8,519.1,513.6
20.000426,513.6,529.8,554.7,529.8,554.7,554.7
20.000427,554.7,594,594,554.7,569,574.95
20.000428,574.95,575,584.9,561,569.9,569.2
20.000502,569.2,565,574,525,533,527.95
20.000503,527.95,502,544.5,495.1,528,525.7
20.000504,525.7,530,557,520,549.9,549.15
20.000505,549.15,553.8,573,549,563,564.4
20.000508,564.4,572,593.1,519.25,519.25,520.35
20.000509,520.35,506.3,541,500,530.05,529.1
20.000510,529.1,535,555.45,519,535,533
20.000511,533,530,545.5,515,535,533.25
20.000512,533.25,539.9,568.4,531,553,559.45
20.000515,559.45,552,590,536,583,580.45
20.000516,580.45,585.2,634.8,585.2,619.9,625.8
20.000517,625.8,635,640,613,618,618.55
20.000518,618.55,610.05,625,595,609,604.7
20.000519,604.7,597.05,622,595.1,619.1,619.05
20.000522,619.05,615,637.8,611.25,626,628.45
20.000523,628.45,630.55,650,627.25,641,643.1
20.000524,643.1,640,659,602,605.1,624.95
20.000525,624.95,614,669,614,660.1,654.55
20.000526,654.55,659.9,679,645.15,665.5,671.8
20.000529,671.8,670,680,660,669.5,670.5
20.000530,670.5,673,749,668,748.5,739.15
20.000531,739.15,770,789,709,724.15,725.6
20.000601,725.6,715.35,733,691.1,696.9,695.65
20.000602,695.65,703,719,686.05,697,696.5
20.000605,696.5,709.9,724,661,667,665.1
20.000606,665.1,661,679.85,650.1,665.25,667.95
20.000607,667.95,669,699.85,665,685.9,688.25
20.000608,688.25,694.95,712.95,690.05,704.9,707.6
20.000609,707.6,702,721,691,699.9,699.5
20.000612,699.5,703,703,681.5,688,688.25
20.000613,688.25,683,695,678,687,689.85
20.000614,689.85,696.9,704.5,687,697,697.8
20.000615,697.8,700,727,697,715,716.9
20.000616,716.9,718.8,732.1,715,724.6,723.7
20.000619,723.7,725,750.85,723.1,737,737.25
20.000620,737.25,746,765.3,740,750,751.4
20.000621,751.4,760,764.6,717,725,724.95
20.000622,724.95,724,744,710,739.2,736
20.000623,736,735,759.9,726,740.1,739.4
20.000626,739.4,734,744.8,720,723,724.95
20.000627,724.95,722.1,736,716.2,721.1,720.75
20.000628,720.75,718,767,717,766,754.4
20.000629,754.4,769,805,763.55,800,798.85
20.000630,798.85,790.05,804.7,782,792,791.8
20.000703,791.8,798,824,765,818.9,817.15
20.000704,817.15,820,823.55,805.15,809,809.65
20.000705,809.65,800,813.25,788.1,794,798.4
20.000706,798.4,789.5,814.4,781.1,810.8,809.4
20.000707,809.4,815,842.8,810.1,840,832.95
20.000710,832.95,836.1,847.9,822.55,835,837.95
20.000711,837.95,832.05,867,827.1,860,863.25
20.000712,863.25,865,865,835,845,845.5
20.000713,845.5,848,879.9,828.05,837,833.3
20.000714,833.3,837,849,820,824.5,824.85
20.000717,824.85,821.05,821.05,770,778.25,781.7
20.000718,781.7,773.45,825.85,773.4,806.95,805.95
20.000719,805.95,801.4,816.9,782,785,784.7
20.000720,784.7,782.1,798.85,762,769.7,769.45
20.000721,769.45,773,784.4,746.55,758,753.75
20.000724,753.75,743.55,757,732,738,739.15
20.000725,739.15,726.55,774.9,726.55,752,755.7
20.000726,755.7,755,766,726.3,732,732.15
20.000727,732.15,728,740.05,701,735,736.65
20.000728,736.65,744,777.9,736.25,752.9,748.05
20.000731,748.05,746.55,763.8,736,739.85,741.95
20.000801,741.95,746,756.95,733.3,756.9,751.7
20.000802,751.7,748.85,764,743.05,758.3,759.25
20.000803,759.25,764.9,772.5,747,749.8,749.55
20.000804,749.55,751.3,773.4,742.05,757.5,761.05
20.000807,761.05,765,787,763,776.9,775.15
20.000808,775.15,779,785,767.65,773,778.2
20.000809,778.2,778,779.85,760,768,768.4
20.000810,768.4,772,779,765,767.65,767.35
20.000811,767.35,769,771,751.1,762,761.25
20.000814,761.25,765,822.1,754,818,801.85
20.000816,801.85,827.9,838.95,799.05,818.5,818.8
20.000817,818.8,818.4,826,795,801,799.85
20.000818,799.85,801,810,786.1,792,793.55
20.000821,793.55,790,800.4,775.1,783,780.9
20.000822,780.9,787.5,796,761.25,766,766.25
20.000823,766.25,772.45,785.9,765.2,776,776.65
20.000824,776.65,778.85,785.9,765.3,768.95,769.5
20.000825,769.5,774,778.9,758.1,759,760.3
20.000828,760.3,758,767,753,763.5,763.95
20.000829,763.95,761,774.8,761,763.1,767
20.000830,767,770,774.9,756,759.2,759.25
20.000831,759.25,757.7,779,756,775.9,775.95
20.000904,775.95,782,789,769.5,771.35,771.45
20.000905,771.45,774.85,783,770,772,772.35
20.000906,772.35,772.9,775.7,758.4,764.1,764.5
20.000907,764.5,768,774.9,761.5,763.5,764
20.000908,764,764.5,774.8,760,763,762.7
20.000911,762.7,764.9,766.85,757,760.95,761.1
20.000912,761.1,760,844.9,760,835,830.15
20.000913,830.15,839.8,858,820,838,840.3
20.000914,840.3,835.1,844,820.6,824.05,823.55
20.000915,823.55,829,829.9,800.1,802.5,805.2
20.000918,805.2,800,804,776.05,780.8,779.4
20.000919,779.4,775.15,783,750,757,753.95
20.000920,753.95,772,776,759,770,769.3
20.000921,769.3,774,799,767.1,772,772.3
20.000922,772.3,769.1,770,712.6,730,724.5
20.000925,724.5,745,758,718,734.1,730.9
20.000926,730.9,731.2,744,720.2,730.3,731
20.000927,731,723,743.95,722,734.3,733.3
20.000928,733.3,733.9,743,702.15,715.1,709.7
20.000929,709.7,719.85,728,708,717.9,713.2
20.001003,713.2,712.75,725.95,703,713.7,713.35
20.001004,713.35,719,728,714.95,723.5,723.95
20.001005,723.95,726.9,742.2,720.55,722.25,723.7
20.001006,723.7,727.85,750.6,727.85,738.05,739.75
20.001009,739.75,738.1,744.5,725,727,727
20.001010,727,729.85,733,716.1,716.25,720.1
20.001011,720.1,715,729,704.8,723,720.55
20.001012,720.55,715.55,752.4,715.05,745,745.8
20.001013,745.8,740,776.1,730,745,764.7
20.001016,764.7,765,801.65,765,790,790.1
20.001017,790.1,790,794.9,738.55,755.15,753.15
20.001018,753.15,750.15,755,736.05,742,740.2
20.001019,740.2,735,753.8,730.05,747,747.85
20.001020,747.85,755.85,783.5,745.05,746,748.2
20.001023,748.2,745.05,757,742,747,746.6
20.001024,746.6,745.25,762.75,745.25,761.5,759.2
20.001025,759.2,760,777,751,765,764.9
20.001026,764.9,762.1,773,746.3,767.2,767.6
20.001027,767.6,767.1,774.5,755.05,756.6,756.4
20.001030,756.4,762,762,745.05,752,750.85
20.001031,750.85,750.5,766,747.5,760,759.8
